Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt
128,1.8042030659999992,0.9162969960000003,0.036273330000000006,0.05203896399999997,0.069932151,2.9762349160000015
256,0.9424326440000002,0.44134419199999997,0.018893772,0.03982862599999998,0.028239011000000005,1.5171368120000002
384,0.6674116120000002,0.2942165400000001,0.014196511,0.038166838,0.018491567999999996,1.070515598
512,0.5860220000000002,0.24634521099999998,0.012865796999999998,0.03909891199999999,0.015108500000000004,0.966362488
640,0.497849046,0.194353826,0.012135196999999999,0.038172268999999995,0.013101872,0.7921163829999999
768,0.453517761,0.18303715599999998,0.011847001000000003,0.039403136,0.011839846999999999,0.7569350180000001
896,0.408773393,0.156179327,0.011831590000000001,0.041239133,0.01076751,0.671986634
1024,0.528109038,0.16940610499999997,0.012082181999999999,0.045576881,0.010764082000000001,0.85298146
1152,0.377814793,0.148573709,0.012077937999999998,0.043304738999999995,0.010174423,0.641744175
1280,0.382879384,0.15241473900000002,0.013517609,0.044182636000000004,0.010406384999999999,0.6747267690000001
1408,0.369025613,0.140487817,0.012873912000000001,0.04486574,0.01024909,0.6359678859999999
1536,0.365553654,0.132141133,0.012659858,0.043053260999999995,0.009792796999999999,0.645932721
1664,0.378538802,0.142987752,0.015233348,0.048369089,0.011261244,0.665733758
1792,0.315377473,0.12266022100000001,0.012914338000000001,0.042259843,0.009710798999999999,0.572274267
1920,0.35172569600000003,0.133458896,0.014952926,0.048164070999999996,0.011244707,0.6311685140000001
2048,0.6275549810000001,0.230509829,0.017105475000000002,0.055117255000000004,0.012666118,1.103984097
2176,0.281955124,0.106115332,0.012177123,0.041029468,0.009485301000000002,0.5144389309999999
2304,0.314517297,0.122135227,0.014301877000000001,0.046086244,0.010589048,0.588623195
2432,0.33665877099999997,0.127415612,0.015917137,0.051077115,0.011630258000000001,0.6246650499999999
2560,0.62393291,0.145501354,0.01749062,0.05592080000000001,0.012989058000000001,0.9724964
2688,0.398611764,0.145560168,0.0192196,0.062118934,0.014470522999999999,0.745509143
2816,0.477050293,0.166583247,0.021087339,0.06713798900000001,0.015553993,0.874560903
2944,0.234618283,0.083974228,0.010901915,0.03698966,0.008706236,0.440174039
3072,0.445854124,0.114496034,0.012343604000000001,0.040007386,0.009344507,0.711597744
3200,0.269777575,0.096576476,0.013522718999999999,0.045188884,0.010260274,0.51198944
3328,0.385217728,0.111577881,0.013976305999999999,0.047035697,0.011011321,0.658663873
3456,0.320276528,0.108522267,0.015391974999999999,0.050663285,0.011824627,0.596927156
3584,0.569077949,0.125221655,0.016709777000000002,0.053623382,0.012725173,0.891855857
3712,0.48419601,0.122646702,0.018135945,0.057710243,0.013800346,0.801477202
3840,0.661959781,0.137697478,0.019234359,0.061406351,0.014637243,1.015244624
3968,0.67026478,0.135819407,0.02018781,0.06947057400000001,0.015772565,1.033845528
4096,0.709295213,0.314891662,0.021456259,0.072529041,0.017113308,1.580944389
4224,0.817397226,0.15021056,0.022942502,0.076350442,0.017928429,1.223700496
4352,0.840081732,0.16719774,0.024388115999999998,0.08114716599999999,0.01885327,1.287077861
4480,0.860115248,0.166407675,0.025606567,0.08368875,0.019684484,1.311791417
4608,0.919786451,0.186956445,0.027222658,0.088788934,0.021044301,1.438261595
4736,0.899211033,0.18150834,0.028577087,0.095073344,0.021837608,1.401481173
4864,1.004283228,0.200874197,0.030269994,0.09927498200000001,0.023359016,1.553439824
4992,0.900317094,0.194680581,0.032050677,0.104911919,0.024144452,1.450785769
5120,1.486784273,0.474948816,0.033190647,0.111673492,0.026007672,2.714586629
5248,1.074437645,0.212010627,0.034487374,0.11561294700000001,0.026899699,1.674928223
5376,1.258090572,0.240080943,0.035680749,0.120106915,0.02830398,1.915282144
5504,0.74188181,0.229421822,0.037618745999999995,0.126035757,0.029379246,1.39711646
5632,1.315223635,0.303713602,0.039016859,0.139426625,0.030648805,2.132596823
5760,0.812289004,0.252267436,0.04169059,0.137033985,0.031835199,1.531825286
5888,1.423390666,0.292976685,0.043484124,0.143688985,0.033442126,2.217371299
6016,0.882609512,0.282564079,0.045364734,0.150027598,0.035560491,1.674890035
6144,1.53548228,0.702869783,0.049367651,0.158355321,0.036255206,3.385751001
6272,0.977864353,0.304430111,0.050052995,0.1678579,0.037943446,1.842529714
6400,1.69602813,0.338310528,0.052113455,0.17452669599999998,0.039422281,2.631976471
6528,1.14396942,0.323244789,0.056341460999999995,0.185985919,0.041155169,2.085101406
6656,1.818474592,0.524556833,0.058328755999999995,0.19319719000000002,0.044879553,3.103695894
6784,1.292861882,0.352862291,0.060218216000000005,0.201340042,0.044016877,2.310811452
6912,1.99786175,0.415647126,0.059903867,0.20824789100000002,0.045464288,3.128059508
7040,1.760340056,0.40187765,0.062305266,0.21608597000000002,0.047113472,2.868281063
7168,2.817357094,0.896824888,0.063968302,0.22685097899999998,0.049337577,5.266547753
7296,2.148735688,0.422358587,0.06608837099999999,0.234684558,0.050812468,3.335013853
7424,2.259345172,0.7163005,0.06872062000000001,0.241112004,0.052473709,3.788966807
7552,2.396768668,0.532032673,0.071137055,0.242298454,0.054182301,3.738373723
7680,2.417428974,1.051974278,0.073577825,0.32401983500000003,0.056133298,4.599896132
7808,2.743985723,0.673132686,0.07597939,0.335447299,0.057722539,4.360076054
7936,2.768601094,1.056860666,0.082429151,0.345115692,0.059528129,4.861281385
8064,3.243002281,0.855403737,0.08401346700000001,0.353906242,0.061472756,5.10317584
8192,3.371033363,1.189439829,0.08574522500000001,0.27788331499999996,0.06374386,7.232059275
