Buffer,_se_encrypt,encrypt
128,2.9762349160000015,3.024133163
256,1.5171368120000002,1.531701371
384,1.070515598,1.08227649
512,0.966362488,0.977479828
640,0.7921163829999999,0.803117519
768,0.7569350180000001,0.767846098
896,0.671986634,0.68240235
1024,0.85298146,0.86333303
1152,0.641744175,0.651499436
1280,0.6747267690000001,0.684941302
1408,0.6359678859999999,0.646251161
1536,0.645932721,0.656190864
1664,0.665733758,0.676452064
1792,0.572274267,0.58198925
1920,0.6311685140000001,0.641889673
2048,1.103984097,1.115760354
2176,0.5144389309999999,0.525696102
2304,0.588623195,0.599954123
2432,0.6246650499999999,0.636606694
2560,0.9724964,0.98498052
2688,0.745509143,0.758240167
2816,0.874560903,0.888053734
2944,0.440174039,0.451837687
3072,0.711597744,0.723776293
3200,0.51198944,0.52441493
3328,0.658663873,0.671859596
3456,0.596927156,0.610040917
3584,0.891855857,0.906030476
3712,0.801477202,0.817542151
3840,1.015244624,1.031493109
3968,1.033845528,1.051411628
4096,1.580944389,1.598784189
4224,1.223700496,1.242820708
4352,1.287077861,1.308086848
4480,1.311791417,1.333628284
4608,1.438261595,1.461215227
4736,1.401481173,1.425864474
4864,1.553439824,1.575157007
4992,1.450785769,1.472798726
5120,2.714586629,2.73788822
5248,1.674928223,1.701341464
5376,1.915282144,1.942461229
5504,1.39711646,1.423260297
5632,2.132596823,2.1597305
5760,1.531825286,1.567523294
5888,2.217371299,2.247039967
6016,1.674890035,1.705645062
6144,3.385751001,3.418466246
6272,1.842529714,1.87725464
6400,2.631976471,2.666870099
6528,2.085101406,2.11970324
6656,3.103695894,3.139617473
6784,2.310811452,2.348471548
6912,3.128059508,3.166370375
7040,2.868281063,2.907101665
7168,5.266547753,5.308938019
7296,3.335013853,3.378944546
7424,3.788966807,3.834894496
7552,3.738373723,3.796482795
7680,4.599896132,4.646949975
7808,4.360076054,4.408692992
7936,4.861281385,4.910744035
8064,5.10317584,5.1544136
8192,7.232059275,7.408930312
