Buffer,_se_encrypt,encrypt
128,11.87081579399999,12.058300769
256,6.0261631540000025,6.084801005
384,4.271842049999997,4.318435973
512,3.7740141560000007,3.818905892
640,3.080202487999999,3.124587698
768,2.8792606239999996,2.922536049
896,2.5442075889999995,2.584917435
1024,3.1237401399999998,3.164200924
1152,2.366503392,2.405892626
1280,2.357502871,2.395898477
1408,2.143944057,2.182625048
1536,2.399711193,2.438867636
1664,2.14287924,2.181502403
1792,2.100798727,2.139859089
1920,2.0895894279999996,2.129422477
2048,3.301229859,3.341846208
2176,2.056141226,2.096469343
2304,2.053885757,2.092762736
2432,1.87949471,1.917842186
2560,2.948088392,2.987522898
2688,1.856319826,1.895755706
2816,2.156125236,2.195975073
2944,1.7534759320000002,1.79344236
3072,2.9163593910000003,2.957652405
3200,2.045018292,2.086865945
3328,2.595602239,2.641407371
3456,1.8095402160000003,1.849432764
3584,2.752813313,2.796136978
3712,2.42102702,2.4664137
3840,3.0990455729999997,3.145686565
3968,3.0950162800000003,3.144670843
4096,4.8133900359999995,4.864748346
4224,2.429534415,2.472188326
4352,2.585945099,2.62951081
4480,2.639158364,2.687024011
4608,2.959997251,3.00770718
4736,2.862650528,2.918124676
4864,3.3234442570000002,3.383395136
4992,2.972160449,3.035398749
5120,5.418546624,5.482481136
5248,3.0461379820000003,3.112244122
5376,3.942391372,4.014129314
5504,3.0543699149999997,3.126625407
5632,4.419072649,4.498631986
5760,3.791546166,3.929789454
5888,2.426260506,2.599746755
6016,1.857472689,2.034962236
6144,3.59333706,3.776813722
6272,2.087560119,2.274503335
6400,2.827484701,3.018969246
6528,2.302845297,2.500804172
6656,3.322486557,3.526129684
6784,2.670656137,2.869859655
6912,3.397429197,3.600276985
7040,3.164906543,3.372341125
7168,5.583215608,5.794301429
7296,3.698259893,3.915324193
7424,4.152402517,4.374718047
7552,4.108933904,4.336634108
7680,4.912193882,5.149144336
7808,4.616180211,4.856012053
7936,5.108206567,5.353145592
8064,5.163745417,5.413772345
8192,7.556300005,7.865933258
