Buffer,_se_encrypt,encrypt
128,5.636611594000001,5.662048135
256,0.7771120960000002,0.785375738
384,0.5570507370000001,0.563733887
512,0.504874642,0.511326479
640,0.444232623,0.456166397
768,0.42757544599999997,0.438874297
896,0.389005507,0.40127411
1024,0.49093339700000005,0.502440601
1152,0.389478708,0.400703395
1280,0.36623271,0.375555604
1408,0.417282156,0.429101226
1536,0.355015134,0.365385461
1664,0.367371754,0.379060752
1792,0.431053594,0.443922541
1920,0.46954217899999995,0.484973469
2048,0.78601027,0.802202365
2176,0.301143651,0.325219305
2304,0.349416107,0.376646191
2432,0.374210514,0.404615524
2560,0.539547953,0.572622285
2688,0.43643215,0.472667261
2816,0.507785201,0.547532625
2944,0.508317233,0.551881169
3072,0.783552161,0.829818919
3200,0.604831708,0.654877535
3328,0.745726997,0.799858
3456,0.70171403,0.759277514
3584,0.984277899,1.046812994
3712,0.907367099,0.973084991
3840,1.128508641,1.198374117
3968,1.15724488,1.23281744
4096,1.679007374,1.760102576
4224,1.345103215,1.43132962
4352,1.409839924,1.500749203
4480,1.465106313,1.562387854
4608,1.631161559,1.733295972
4736,1.575935185,1.685056854
4864,1.727592279,1.840413131
4992,1.668352285,1.799399693
5120,2.838572693,2.964271772
5248,1.677539009,1.811887622
5376,2.115063369,2.252467968
5504,1.65078246,1.795232537
5632,2.413814671,2.564937119
5760,1.832899331,1.991324775
5888,2.527261894,2.692232469
6016,2.024068204,2.199870678
6144,3.633866839,3.81636813
6272,2.113269203,2.30133336
6400,2.849291965,3.04512913
6528,2.348928543,2.552405866
6656,3.359636958,3.570618311
6784,2.680779968,2.891522104
6912,3.457964928,3.676997105
7040,3.721406182,3.946433702
7168,5.649577353,5.884014051
7296,3.77138218,4.013535538
7424,4.157121723,4.407977804
7552,4.129824858,4.391150901
7680,5.013852549,5.282439072
7808,4.685285996,4.961956695
7936,5.223929217,5.512152776
8064,5.549116823,5.840838016
8192,7.811603171,8.124965189
