Buffer,_se_encrypt,encrypt
128,23.707558968999944,24.084250624
256,12.03046137200001,12.151885786
384,8.541622144999993,8.635745455
512,7.517222147999998,7.606941756
640,6.185163594000006,6.273100769
768,5.759200114999999,5.843830953
896,5.099330755000002,5.178746135
1024,6.146884191,6.224515277
1152,4.6536464639999995,4.728440843
1280,4.605217418,4.678762384
1408,4.290652365000001,4.366796211
1536,4.636312461999999,4.710633551
1664,4.1219314030000005,4.196095322
1792,4.044603937000001,4.11751524
1920,3.9924085790000006,4.067624544
2048,6.301130349999999,6.3769707
2176,3.869349683,3.946183371
2304,3.822016627,3.894882914
2432,3.7443951260000006,3.819793405
2560,5.380386703,5.455537816
2688,3.7157155640000004,3.790429383
2816,3.9416146480000003,4.017316922
2944,3.5105472129999997,3.584537911
3072,5.833595856,5.910790889
3200,3.5802813910000006,3.656887504
3328,4.514726592,4.592894948
3456,3.6199860879999997,3.696989753
3584,5.520091604999999,5.601776737
3712,4.094429244,4.173879531
3840,5.614981719999999,5.69785058
3968,5.227072972999999,5.308505773
4096,8.025480678,8.109769428
4224,4.878632571,4.959308436
4352,5.158413218,5.238225779
4480,5.2922607809999995,5.372578112
4608,5.889090614000001,5.971461755
4736,4.216421773,4.292670668
4864,4.712337968,4.790034439
4992,4.382139478,4.460039169
5120,8.195893191,8.278041668
5248,4.371373671,4.455570682
5376,5.635538758,5.720136133
5504,4.193075304,4.285260133
5632,6.444455292999999,6.533144271
5760,4.583215199,4.683156551
5888,4.5532451730000005,4.633443616
6016,3.382306178,3.46390329
6144,6.834326979,6.917783237
6272,3.714662938,3.802394092
6400,5.185956818999999,5.276084392
6528,4.120492305,4.208490567
6656,6.131589532,6.222252968
6784,4.601834663,4.700761081
6912,6.072389395,6.166807326
7040,5.632160355,5.729483977
7168,10.552900081,10.665888398
7296,6.785843604,6.884411748
7424,7.620962741,7.721654362
7552,7.529674723,7.639817498
7680,9.280262884999999,9.408530105
7808,8.762171485,8.903786501
7936,9.67214446,9.917228823
8064,10.27418647,10.519147093
8192,14.668705583,14.914474067
