Buffer,_se_encrypt,encrypt
128,0.7481034399999998,0.761111532
256,0.38992894499999997,0.39377272
384,0.282157044,0.285160585
512,0.263568012,0.266632755
640,0.22579050799999997,0.229012398
768,0.201845331,0.204946315
896,0.18295834,0.185970862
1024,0.284146521,0.287845573
1152,0.182589234,0.185956565
1280,0.22591121,0.229767927
1408,0.25317398,0.257882261
1536,0.157775066,0.161195695
1664,0.168017822,0.172040203
1792,0.191495078,0.195255221
1920,0.210835046,0.215270997
2048,0.367634586,0.372584846
2176,0.257680355,0.263271663
2304,0.293652601,0.299301425
2432,0.311620306,0.317480555
2560,0.485987983,0.493137181
2688,0.369944616,0.376828687
2816,0.439091472,0.447594024
2944,0.439503504,0.449118878
3072,0.709551313,0.719538534
3200,0.513369065,0.522538759
3328,0.656813126,0.666557146
3456,0.599568322,0.612989672
3584,0.894319336,0.904854903
3712,0.803115672,0.814434675
3840,1.018869108,1.03487328
3968,1.031439819,1.046827294
4096,1.571939302,1.589916174
4224,1.221821408,1.239105066
4352,1.288912915,1.309203929
4480,1.313612194,1.335102139
4608,1.441965664,1.461825145
4736,1.403505669,1.427855599
4864,1.563513301,1.581820411
4992,1.455510919,1.481442129
5120,2.718527567,2.745129065
5248,1.458295665,1.486987584
5376,1.862278917,1.890983002
5504,1.376365675,1.407327864
5632,2.136985635,2.16954127
5760,1.521316902,1.555326225
5888,2.259590761,2.295611357
6016,1.672876351,1.709014132
6144,3.405309627,3.444650909
6272,1.854268651,1.894294055
6400,2.6227813,2.664160781
6528,2.07802244,2.131965688
6656,3.086028441,3.142138609
6784,2.309623992,2.357821656
6912,3.101625858,3.15199796
7040,2.884494697,2.937154255
7168,5.33699101,5.390480262
7296,3.333125871,3.388036311
7424,3.770939019,3.827604458
7552,3.747952312,3.789162109
7680,4.533526321,4.596985869
7808,4.226063932,4.385789697
7936,4.724446788,4.888864019
8064,5.093593074,5.263469391
8192,7.32545733,7.500909548
