Buffer,_se_encrypt,encrypt
128,94.72742818899947,96.192047631
256,48.04492496400013,48.49811652
384,34.13948929099997,34.48972769
512,29.97813302,30.319047314
640,24.729418608999996,25.062854859
768,23.026414630999998,23.358122079
896,20.208611275999996,20.519806454
1024,24.286760561000012,24.579303813
1152,18.477194767999997,18.75829383
1280,18.396045494000003,18.674307773
1408,17.184970608,17.457347601
1536,18.137437268000003,18.407599657
1664,16.037408435,16.308089314
1792,16.021559079,16.285688806
1920,15.289618081999999,15.55558909
2048,23.671085463,23.942613167
2176,14.691566250000003,14.956145609
2304,14.981349511000003,15.242574946
2432,14.336207715000002,14.594701572
2560,20.029252265000004,20.293533615
2688,14.088721658000003,14.347508108
2816,14.702233033,14.953019556
2944,13.589967939,13.837554036
3072,20.656566054000002,20.913964648
3200,13.766037819000001,14.019310891
3328,15.989445773,16.239066997
3456,13.777587208,14.02511501
3584,18.831507528000003,19.085030135
3712,16.084136651,16.335329429
3840,19.303188258,19.572612424
3968,18.526064480000002,18.799106294
4096,26.784311752000004,27.053093705
4224,19.462666622999997,19.725252849
4352,19.301864095000003,19.56781619
4480,18.426228755,18.67846473
4608,18.648670636,18.895655913
4736,16.802334049,17.054197029
4864,18.714504024,18.971016544
4992,15.990407186,16.236258918
5120,29.983226477,30.238833528
5248,15.423487014,15.663947012
5376,18.617991844,18.881519916
5504,12.563681613,12.814347145
5632,19.008080060999998,19.259504734
5760,13.801143889999999,14.054779872
5888,17.994215130999997,18.233174132
6016,13.726826186,13.997089702
6144,27.801491341,28.090248111
6272,13.904487988,14.191217763
6400,18.707765398,19.003008224
6528,15.372126596000001,15.661377879
6656,21.917623215,22.207881487
6784,14.364162192,14.69500569
6912,19.130497481,19.458956617
7040,17.393251217,17.787889588
7168,32.378256356,32.932968602
7296,21.222668936999998,21.886505211
7424,19.523940384,20.066631935
7552,19.311679282,19.858174585
7680,23.396258641,24.039884662
7808,21.986509651000002,22.630297133
7936,24.660196523000003,25.308749766
8064,26.24790721,27.002338146
8192,36.68059590600001,37.456184326
