Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt,encrypt
128,10.750396905000006,0.024429159000000002,0.019055855000000007,0.030802942000000003,0.03344296699999999,10.905210082000005,11.155254638
640,0.044935011999999996,0.010635444,0.006917016,0.025453812,0.007176417,0.11304153000000002,0.29597323
1152,0.059705066,0.011543669999999999,0.007254195999999999,0.0333919,0.005774614,0.13913346,0.3444894
1664,0.09297047,0.012127566,0.007419358000000001,0.035305531,0.005624467,0.180173588,0.38710109
2176,0.140385085,0.01462898,0.007701113000000001,0.033481474000000004,0.004795687,0.228839327,0.425201457
2688,0.315290109,0.022634884,0.011927476,0.049403041,0.007235492,0.446424631,0.767728774
3200,0.503901839,0.041842574,0.016624481,0.06954084399999999,0.010132196,0.697580339,1.170591877
3712,0.722627001,0.092219228,0.021891602,0.094759607,0.013562909,1.019257547,1.623875947
4224,1.023158418,0.152840079,0.028162743,0.121095424,0.017446168,1.434641847,2.251222772
4736,1.326507398,0.23804008,0.035296424,0.154786399,0.022142858,1.892342486,2.29585017
5248,1.671104777,0.339526075,0.043340384,0.18717551400000002,0.026832566,2.408256217,2.911669337
5760,2.058861192,0.462391488,0.051658358,0.224958753,0.03192175,2.997314912,3.60006138
6272,2.548666617,0.545840195,0.062188902000000004,0.267945047,0.038328649,3.658040734,4.380915594
6784,2.97093497,0.676250145,0.07166646900000001,0.377432708,0.044333353,4.375808134,5.2318972
7296,3.546643484,0.741356618,0.082464918,0.43770069699999997,0.050443779,5.123772848,6.108684482
7808,4.280862166,0.871163974,0.094121912,0.5001669169999999,0.057788941,6.106171409,7.214315003
