Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt,encrypt
128,2.7356388750000007,0.961957036,0.6222033600000025,1.165948940000001,1.0817272929999968,8.17427638800003,9.725684775
640,1.2172057040000008,0.3255403880000002,0.2013824489999999,0.6104450959999997,0.20315797199999985,3.0353697110000004,4.16914228
1152,1.3278771969999996,0.302199495,0.19268375099999993,0.6411693239999999,0.14925797900000004,3.123531693,4.849025184
1664,2.1672817770000012,0.302748095,0.18416514599999995,0.6907483540000001,0.13900322299999998,3.9936966689999998,5.50104068
2176,4.031407053,0.322417564,0.18314830699999998,0.6945581839999998,0.13746155200000001,5.888943957,7.014266125
2688,5.60366144,0.381653972,0.17949522,0.707960513,0.136033034,7.520254507000001,8.604040025
3200,6.804607784999998,0.458817995,0.185418891,0.7400049810000002,0.14207123300000002,8.863254037,10.027423016
3712,7.1214385920000005,0.587897427,0.17599236,0.750723673,0.136328333,9.267385805,10.440401797
4224,7.667818888999999,0.855721897,0.184125504,0.789126374,0.140617824,10.16334991,11.333143268
4736,7.373061825000001,1.160896648,0.169613713,0.7661204610000001,0.130833015,10.112260828,11.330186948
5248,7.643470812999999,1.6583035499999998,0.17303611200000002,0.770170157,0.133529498,10.904967145,12.04403072
5760,9.701861828,1.9902278129999997,0.208623966,0.9460896280000001,0.159553909,13.690880167,15.17102538
6272,9.265588473000001,1.964250029,0.208808269,0.990135053,0.15142592300000002,13.140054165,14.407147216
6784,8.402471645,1.7942282330000001,0.19819116199999998,1.028499004,0.131616545,12.20841321,13.626323387
7296,10.06889866,2.045864862,0.225132891,1.306284945,0.15519746899999998,14.570425322,15.648524996
7808,11.625433083,2.477600862,0.247941342,1.3633474570000002,0.17997501100000002,16.746985066,18.378898611
