Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt,encrypt
128,0.3352943609999995,0.1271258109999999,0.07286895899999996,0.11146364699999999,0.12582981499999982,0.9518387440000006,1.753787339
640,0.156661847,0.039456071,0.025192529999999994,0.07851743399999997,0.025869449,0.387147598,1.101189564
1152,0.177518196,0.039230961,0.023783705,0.080116335,0.018861065,0.40306618299999997,1.863176252
1664,0.247601688,0.041996692,0.026278165000000003,0.08663950500000002,0.019712978,0.49465951499999994,0.633863273
2176,0.450684118,0.041440609,0.024946186,0.080437112,0.018833623,0.6853051960000001,0.968699758
2688,0.807657044,0.049445713,0.028153297,0.09245374099999999,0.021567318000000002,1.0767360940000001,3.078069429
3200,0.8804547519999999,0.061973743,0.026210758,0.086821451,0.020360153,1.14719442,2.463689326
3712,1.356175542,0.106525377,0.037109702999999994,0.133889023,0.027326647000000003,1.773882393,2.146692454
4224,0.947458793,0.092216972,0.023167441,0.084698989,0.017587591,1.223840493,1.996549016
4736,1.134955924,0.170365798,0.028561517,0.122884492,0.021967202,1.554524518,1.893533568
5248,1.553259282,0.241575799,0.034713041,0.18708055499999998,0.026417238,2.136055618,2.546408727
5760,1.984285984,0.418395128,0.041278580999999995,0.181506079,0.03168089,2.814922624,3.269292999
6272,2.238080598,0.474888945,0.049192188,0.266709794,0.037675808,3.243471791,3.922071799
6784,2.686880652,0.573541742,0.056928281,0.380456961,0.043962315,3.960799002,4.711105508
7296,3.111620154,0.649871683,0.06548736299999999,0.438699846,0.051065179,4.566171828,5.396392261
7808,3.525614215,0.756650622,0.074995409,0.500088744,0.058383206,5.199045279,6.210307156
