Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt,encrypt
128,0.04873993700000001,0.021102132999999995,0.009842242999999999,0.013871039999999996,0.01674675000000001,0.13461793699999997,0.15509077
640,0.02177814,0.006078779,0.003618686,0.011870549000000001,0.003768814,0.056229313,0.135719261
1152,0.033659389,0.005670471,0.0036638340000000004,0.012367686,0.002908606,0.068241763,0.151970446
1664,0.041074686,0.006015744,0.003586261,0.011813213,0.002790459,0.075447472,0.162024982
2176,0.10973274,0.010330921,0.006503626,0.019774614000000003,0.004761225,0.168374129,0.355980101
2688,0.294316129,0.017164004,0.00958771,0.030457325,0.007087691,0.383766652,0.671374417
3200,0.44083999,0.032651015,0.013875905,0.042612757,0.01020596,0.57508133,1.004473934
3712,0.665453601,0.048267802,0.017833846,0.057337482,0.013655112,0.848336257,1.384017784
4224,0.962743173,0.089720057,0.023057733,0.075679858,0.017582425,1.229015185,1.975265221
4736,1.293121816,0.154196675,0.028334321000000003,0.116000538,0.02190136,1.687912145,2.030669875
5248,1.554675631,0.280862318,0.034619839,0.150938263,0.02663516,2.168865321,2.569591251
5760,1.839689365,0.428265636,0.042545332000000005,0.181532329,0.031590644,2.680340409,3.18641843
6272,2.170594576,0.510560459,0.049640617,0.216369389,0.038892813,3.133064716,3.792801634
6784,2.84978411,0.584135508,0.056692514,0.253284014,0.043862629,3.993163198,4.842708874
7296,3.237171465,0.670820126,0.065215944,0.441075614,0.050233869,4.723517117,5.62031785
7808,3.785086934,0.761029696,0.07519672399999999,0.504380226,0.057674409,5.474147939,6.448912354
