Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt,encrypt
128,0.6779165969999993,0.254468062,0.15467297299999966,0.2237636660000001,0.2634366949999996,1.9432342869999992,195.457961197
640,0.310192986,0.08659488699999998,0.050949299,0.155356443,0.051492807999999966,0.7752228390000002,1.310268542
1152,0.321346312,0.07469796,0.047073044999999994,0.16142182499999996,0.037975183,0.770187114,1.26815867
1664,0.48785865800000006,0.078138021,0.048221524,0.158411135,0.036736206,0.9394954200000001,1.469131633
2176,0.802767303,0.088246307,0.051330457,0.163085584,0.037881504,1.283255839,1.825005238
2688,1.507597983,0.090792065,0.048235136,0.153050596,0.035955308,1.961065223,2.492139091
3200,1.8787039770000002,0.106994185,0.052760806,0.17269929,0.041005138,2.3917015189999997,2.983310506
3712,2.02290722,0.142829609,0.053298837,0.174924295,0.040935751,2.572336667,3.17616623
4224,1.921089166,0.179818424,0.046061782999999995,0.15001605499999998,0.034966031,2.450164771,2.962927277
4736,2.489913503,0.31875863800000004,0.056891191,0.200944434,0.043980724,3.254833819,3.917066588
5248,3.0735619549999997,0.637885434,0.06965982700000001,0.29824240999999996,0.053269488000000004,4.392417396,5.243456862
5760,3.81283306,0.86836851,0.082722496,0.361161831,0.06371099499999999,5.491118135000001,6.533110853
6272,2.18415324,0.495264339,0.05012428100000001,0.215533167,0.038273074,3.152753092,3.7605621
6784,2.684039849,0.575601052,0.056672753,0.252080033,0.043611771,3.816526725,4.588139195
7296,3.06994306,0.679241244,0.065139828,0.435141864,0.050445796,4.54853605,5.425338526
7808,3.542308375,0.786603979,0.075127954,0.502569077,0.057798388,5.246653575,6.254722034
