Buffer,dwt2d-1,dwt2d-2,sha256+xor1,sha512+xor2,aes_encrypt,_se_encrypt,encrypt
128,0.16331308500000008,0.049774474000000006,0.03663363299999997,0.05567937899999996,0.06280736399999996,0.4580925719999999,0.529199565
640,0.077107545,0.020255324999999998,0.012829864000000002,0.040142507,0.012887694000000003,0.195094369,0.563846287
1152,0.093130919,0.019803093999999997,0.012622808000000001,0.043364242,0.010479786000000001,0.21328622900000002,0.607332989
1664,0.158653956,0.024139452,0.014580097,0.048219463000000004,0.011426348,0.29682521700000003,0.750876653
2176,0.214947982,0.020598358,0.012871067,0.039758163,0.009429192,0.332453851,0.779707649
2688,0.616575058,0.036098068999999997,0.018552668,0.062561267,0.01426536,0.798169226,1.390333466
3200,0.46096728,0.037360441,0.013824996999999999,0.042957912,0.010093997,0.599933977,1.023540114
3712,0.669145238,0.048598661,0.017736124,0.057057460000000004,0.013710147,0.852194221,1.580557445
4224,0.963976478,0.087578171,0.022935841999999998,0.097694927,0.01800149,1.272349103,1.821287981
4736,1.257191579,0.149922405,0.028469926,0.121223334,0.021848673,1.677834472,2.01109982
5248,1.620420638,0.257860219,0.034753703,0.14888210600000001,0.026563362,2.214245131,2.625535482
5760,1.856380182,0.41960149,0.042499495,0.18177084100000002,0.031854246,2.68538513,3.235789667
6272,2.259143041,0.510375899,0.04975953500000001,0.213044764,0.038688848,3.234363428,3.880488765
6784,2.90572115,0.585699302,0.0566701,0.38111570699999997,0.043779051,4.19323882,4.96601415
7296,3.417476778,0.680897858,0.065483765,0.439682416,0.050430286,4.909891923,8.561182252
7808,4.000671372,0.73933501,0.094848904,0.50406499,0.057700958,5.702527151,6.802185881
